,NONE,-O,'-O2','-O3',,Relative Frequency,NONE,-O,'-O2','-O3'
instructionCount,1117,980,978,958,,ALU,0.2802148612,0.2887755102,0.2893660532,0.2828810021
NONE,0,0,0,0,,SHIFT,0.2748433303,0.2612244898,0.2597137014,0.2651356994
ALU,313,283,283,271,,LOAD,0.1835273053,0.1734693878,0.1738241309,0.1774530271
SHIFT,307,256,254,254,,STORE,0.1235452104,0.1214285714,0.1216768916,0.124217119
LOAD,205,170,170,170,,BRANCH,0.0859444942,0.0959183673,0.0961145194,0.0897703549
STORE,138,119,119,119,,JUMP,0.0429722471,0.0489795918,0.0490797546,0.0501043841
BRANCH,96,94,94,86,,OTHER,0.0089525515,0.0102040816,0.0102249489,0.0104384134
JUMP,48,48,48,48,,NONE,0,0,0,0
OTHER,10,10,10,10,,sll,0.2721575649,0.2581632653,0.2566462168,0.2620041754
NONE,0,0,0,0,,srl,0,0,0,0
sll,304,253,251,251,,sra,0.0026857654,0.0030612245,0.0030674847,0.003131524
srl,0,0,0,0,,sllv,0,0,0,0
sra,3,3,3,3,,srlv,0,0,0,0
sllv,0,0,0,0,,srav,0,0,0,0
srlv,0,0,0,0,,jr,0.0214861235,0.0244897959,0.0245398773,0.0250521921
srav,0,0,0,0,,add,0,0,0,0
jr,24,24,24,24,,addu,0.0161145927,0.0102040816,0.0102249489,0.009394572
add,0,0,0,0,,sub,0,0,0,0
addu,18,10,10,9,,subu,0.0017905103,0.0020408163,0.0020449898,0.0020876827
sub,0,0,0,0,,and,0,0,0,0
subu,2,2,2,2,,or,0.0752014324,0.0846938776,0.0848670757,0.0855949896
and,0,0,0,0,,xor,0,0,0,0
or,84,83,83,82,,nor,0,0,0,0
xor,0,0,0,0,,slt,0,0,0,0
nor,0,0,0,0,,sltu,0.0098478066,0.0112244898,0.0112474438,0.0114822547
slt,0,0,0,0,,j,0,0,0,0
sltu,11,11,11,11,,jal,0.0214861235,0.0244897959,0.0245398773,0.0250521921
j,0,0,0,0,,jalr,0,0,0,0
jal,24,24,24,24,,mult,0,0,0,0
jalr,0,0,0,0,,multu,0,0,0,0
mult,0,0,0,0,,div,0,0,0,0
multu,0,0,0,0,,divu,0,0,0,0
div,0,0,0,0,,mfhi,0,0,0,0
divu,0,0,0,0,,mthi,0,0,0,0
mfhi,0,0,0,0,,mflo,0,0,0,0
mthi,0,0,0,0,,mtlo,0,0,0,0
mflo,0,0,0,0,,beq,0.0519247986,0.0581632653,0.0582822086,0.0594989562
mtlo,0,0,0,0,,bne,0.0313339302,0.0346938776,0.0347648262,0.0271398747
beq,58,57,57,57,,bgez,0.0008952551,0.0010204082,0.0010224949,0.0010438413
bne,35,34,34,26,,bgtz,0.0017905103,0.0020408163,0.0020449898,0.0020876827
bgez,1,1,1,1,,blez,0,0,0,0
bgtz,2,2,2,2,,bltz,0,0,0,0
blez,0,0,0,0,,addi,0,0,0,0
bltz,0,0,0,0,,addiu,0.0975828111,0.1051020408,0.1053169734,0.0981210856
addi,0,0,0,0,,slti,0.0134288272,0.006122449,0.0061349693,0.006263048
addiu,109,103,103,94,,sltiu,0,0,0,0
slti,15,6,6,6,,andi,0.0035810206,0.0040816327,0.0040899796,0.0041753653
sltiu,0,0,0,0,,ori,0.0134288272,0.0153061224,0.0153374233,0.01565762
andi,4,4,4,4,,xori,0,0,0,0
ori,15,15,15,15,,lui,0.0492390331,0.05,0.0501022495,0.0501043841
xori,0,0,0,0,,lb,0.0438675022,0.05,0.0501022495,0.0511482255
lui,55,49,49,48,,lh,0,0,0,0
lb,49,49,49,49,,lw,0.1145926589,0.0948979592,0.0950920245,0.0970772443
lh,0,0,0,0,,lbu,0.0250671441,0.0285714286,0.0286298569,0.0292275574
lw,128,93,93,93,,lhu,0,0,0,0
lbu,28,28,28,28,,sb,0.0411817368,0.0469387755,0.0470347648,0.0480167015
lhu,0,0,0,0,,sh,0,0,0,0
sb,46,46,46,46,,sw,0.0823634736,0.0744897959,0.0746421268,0.0762004175
sh,0,0,0,0,,syscall,0.0089525515,0.0102040816,0.0102249489,0.0104384134
sw,92,73,73,73,,break,0,0,0,0
syscall,10,10,10,10,,loadStalls,0,0,0,0
break,0,0,0,0,,controlStalls,0,0,0,0
loadStalls,0,0,0,0,,,,,,
controlStalls,0,0,0,0,,,,,,
iCacheMissRate, -nan, -nan, -nan, -nan,,,,,,
dCacheMissRate, -nan, -nan, -nan, -nan,,,,,,
